                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9779,                 4.9672,                 4.2099,                      0,                      0,                      0,                      0,                 4.6955,                 4.9795,                 4.2214,             0.00064912,             0.00064912,             0.00064912
                      2,                  2.923,                 3.3758,                 3.2414,                      0,                      0,                      0,                      0,                 5.3577,                 4.6705,                 4.8527,              0.0013093,              0.0013093,              0.0013093
                      3,                 2.6012,                 2.8417,                 2.8327,                0.27688,                0.24705,                0.12691,                0.02587,                 2.9122,                  5.207,                 3.1177,              0.0019628,              0.0019628,              0.0019628
                      4,                 2.4288,                 2.4249,                 2.7315,                0.47447,                0.55484,                0.47609,                0.16701,                 2.1632,                 2.1714,                 2.6702,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.2787,                 2.1232,                 2.5873,                0.49301,                0.48936,                0.48452,                  0.177,                 1.9212,                 2.1774,                 2.4501,              0.0019703,              0.0019703,              0.0019703
                      6,                 2.2304,                 1.9085,                  2.539,                 0.3857,                0.54685,                0.46971,                0.17455,                 2.0305,                 1.9806,                  2.595,              0.0019604,              0.0019604,              0.0019604
                      7,                 2.0863,                 1.8003,                 2.4209,                0.51016,                0.51067,                0.52816,                0.22426,                 1.7783,                   1.91,                 2.3474,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.9632,                 1.6967,                 2.2876,                0.83476,                0.61925,                0.77396,                0.35623,                 1.6564,                 1.5976,                  2.209,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.8938,                 1.5542,                 2.2462,                0.77399,                0.65161,                0.76601,                0.36476,                 1.6168,                 1.6747,                  2.114,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.7968,                 1.4407,                 2.1155,                0.78989,                0.72762,                0.82285,                0.42397,                 1.5271,                 1.6251,                 2.0008,              0.0019208,              0.0019208,              0.0019208
                     11,                 1.7339,                  1.381,                  2.059,                 0.8452,                0.74194,                0.85182,                0.41493,                  1.525,                 1.3947,                 2.0042,              0.0019109,              0.0019109,              0.0019109
                     12,                 1.7299,                 1.3069,                 2.0249,                0.85215,                 0.7871,                0.89907,                0.46408,                 1.5097,                 1.2244,                 1.9322,               0.001901,               0.001901,               0.001901
                     13,                 1.5875,                 1.2461,                 1.9043,                0.81117,                0.77601,                0.85582,                0.48018,                 1.3758,                 1.2882,                  1.884,              0.0018911,              0.0018911,              0.0018911
                     14,                 1.5689,                 1.1971,                 1.8701,                0.81098,                0.75484,                0.83589,                0.41985,                 1.4664,                 1.4792,                  1.903,              0.0018812,              0.0018812,              0.0018812
                     15,                   1.61,                 1.1946,                  1.886,                0.82175,                0.78065,                0.84109,                0.41223,                 1.5429,                 1.2695,                 2.0106,              0.0018713,              0.0018713,              0.0018713
                     16,                 1.5043,                 1.1386,                 1.8296,                0.87897,                0.86452,                0.94089,                0.54568,                 1.4048,                  1.119,                 1.8381,              0.0018614,              0.0018614,              0.0018614
                     17,                 1.5005,                 1.1692,                 1.8007,                0.84984,                0.89032,                0.93798,                0.51586,                 1.4778,                 1.0224,                 1.8602,              0.0018515,              0.0018515,              0.0018515
                     18,                 1.4809,                 1.1197,                 1.7601,                0.87676,                0.89032,                0.95067,                 0.5505,                 1.2659,                 1.0065,                 1.7375,              0.0018416,              0.0018416,              0.0018416
                     19,                 1.4812,                 1.0832,                 1.7594,                0.85227,                0.87097,                0.92965,                0.44005,                 1.5054,                 1.7261,                 1.9211,              0.0018317,              0.0018317,              0.0018317
